Machine_ID,Hydraulic_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature(?C),Spindle_Bearing_Temperature(?C),Downtime
Makino-L2-Unit1-2015,64.98,25.8,49.7,33.8,Machine_Failure
Makino-L1-Unit1-2013,71.55,30.3,48.5,35,Machine_Failure
Makino-L1-Unit1-2013,97.24,16.4,51.8,37.6,Machine_Failure
Makino-L1-Unit1-2013,92.51,8.9,44.8,32.6,Machine_Failure
Makino-L3-Unit1-2015,153.2514276,27.1,53.5,38.2,No_Machine_Failure
Makino-L3-Unit1-2015,83.78,22.3,49.9,34.8,Machine_Failure
Makino-L2-Unit1-2015,82.34,24.4,44.3,36.6,Machine_Failure
Makino-L3-Unit1-2015,82.54,13.4,49.4,35.3,Machine_Failure
Makino-L2-Unit1-2015,94.55,19.2,45.8,36.6,Machine_Failure
Makino-L2-Unit1-2015,83.17,29.8,41.9,33,Machine_Failure
Makino-L2-Unit1-2015,98.95,25.6,51.3,33.3,Machine_Failure
Makino-L1-Unit1-2013,60.19,26.4,45.8,34.2,Machine_Failure
Makino-L3-Unit1-2015,83.12,27,49.9,30.2,Machine_Failure
Makino-L2-Unit1-2015,61.95,28.7,54.3,32.9,Machine_Failure
Makino-L3-Unit1-2015,59.1,30.3,50.1,33.7,Machine_Failure
Makino-L2-Unit1-2015,97.45,29.8,49.5,36.2,Machine_Failure
Makino-L3-Unit1-2015,131.1343222,23.4,,31.4,No_Machine_Failure
Makino-L2-Unit1-2015,150.2788971,23.4,48,35.7,No_Machine_Failure
Makino-L1-Unit1-2013,143.1816086,23.4,47.4,40.7,No_Machine_Failure
Makino-L1-Unit1-2013,106.5459096,23.4,46.4,40.9,No_Machine_Failure
Makino-L2-Unit1-2015,106.3956827,24.2,46.3,40.1,No_Machine_Failure
Makino-L3-Unit1-2015,69.58,16.8,41.8,41.7,Machine_Failure
Makino-L2-Unit1-2015,113.8246063,23,45.6,30.9,No_Machine_Failure
Makino-L1-Unit1-2013,57.95490946,22.9,44.7,39.6,No_Machine_Failure
Makino-L3-Unit1-2015,119.7085582,23.1,46.5,30.1,No_Machine_Failure
Makino-L1-Unit1-2013,85.53,28.7,43.1,28,Machine_Failure
Makino-L3-Unit1-2015,121.4496961,23,44.5,32.5,No_Machine_Failure
Makino-L1-Unit1-2013,90.52,27,38.9,34.4,Machine_Failure
Makino-L2-Unit1-2015,95.35,26.4,45.7,34,Machine_Failure
Makino-L1-Unit1-2013,72.66,25.6,44.9,38.2,Machine_Failure
Makino-L1-Unit1-2013,79.87,24.4,36.4,33.6,Machine_Failure
Makino-L3-Unit1-2015,111.2872799,23,48.2,31.9,No_Machine_Failure
Makino-L3-Unit1-2015,95.54,18.3,53.1,36.2,Machine_Failure
Makino-L2-Unit1-2015,157.47,15,46.5,34.1,Machine_Failure
Makino-L1-Unit1-2013,121.86,5.7,49.6,28.6,Machine_Failure
Makino-L2-Unit1-2015,93.08,19,51.2,33.1,Machine_Failure
Makino-L1-Unit1-2013,145.3096515,21.2,46.9,38.7,No_Machine_Failure
Makino-L2-Unit1-2015,92.92,25.3,46.9,37.4,Machine_Failure
Makino-L1-Unit1-2013,62.67,12.2,41.2,38.8,Machine_Failure
Makino-L1-Unit1-2013,125.95,21.6,45.1,38.6,Machine_Failure
Makino-L3-Unit1-2015,148.8378499,21.4,40.2,39.2,No_Machine_Failure
Makino-L2-Unit1-2015,150.5537239,21.4,44.3,40.1,No_Machine_Failure
Makino-L2-Unit1-2015,62.66,11.7,49.8,35.3,Machine_Failure
Makino-L3-Unit1-2015,85.49258808,21.4,49.3,43.2,No_Machine_Failure
Makino-L3-Unit1-2015,93.45,25.9,48,40.1,Machine_Failure
Makino-L3-Unit1-2015,125.5707982,21.4,49,31.1,No_Machine_Failure
Makino-L3-Unit1-2015,148.231094,21.3,50.5,31.3,No_Machine_Failure
Makino-L3-Unit1-2015,95.20213175,21.1,50,32.5,No_Machine_Failure
Makino-L3-Unit1-2015,99.36,11.6,50.2,36.3,Machine_Failure
Makino-L2-Unit1-2015,87.08,14.6,45.7,40.2,Machine_Failure
Makino-L1-Unit1-2013,85.65,25.1,45,41.3,Machine_Failure
Makino-L2-Unit1-2015,142.6132048,21.4,47.3,34,No_Machine_Failure
Makino-L3-Unit1-2015,127.5209543,4.5,51.2,37,No_Machine_Failure
Makino-L1-Unit1-2013,83.8239862,11.9,48.5,35.5,No_Machine_Failure
Makino-L2-Unit1-2015,123.0202108,12.2,38.8,33.1,No_Machine_Failure
Makino-L2-Unit1-2015,117.6674203,26.4,50,33.8,No_Machine_Failure
Makino-L2-Unit1-2015,146.4883886,5.7,49.3,37.6,No_Machine_Failure
Makino-L1-Unit1-2013,149.2385444,11.9,48.6,33.2,No_Machine_Failure
Makino-L3-Unit1-2015,116.77999,10.6,49,39.9,No_Machine_Failure
Makino-L2-Unit1-2015,128.1827102,8.7,51.2,30.8,No_Machine_Failure
Makino-L2-Unit1-2015,104.3146858,11.9,50.8,31.1,No_Machine_Failure
Makino-L2-Unit1-2015,143.0770939,7.4,46,33.7,No_Machine_Failure
Makino-L3-Unit1-2015,167.2508236,6.8,50.2,34.3,No_Machine_Failure
Makino-L1-Unit1-2013,149.1793342,12.2,50.4,33.2,No_Machine_Failure
Makino-L3-Unit1-2015,126.488316,10.6,52,33.8,No_Machine_Failure
Makino-L1-Unit1-2013,127.2794473,26.1,42.9,30.7,No_Machine_Failure
Makino-L1-Unit1-2013,99.11072758,8.7,54,35.4,No_Machine_Failure
Makino-L3-Unit1-2015,100.8281388,7.4,52.6,40.4,No_Machine_Failure
Makino-L2-Unit1-2015,112.9781364,6.8,45.4,35.5,No_Machine_Failure
Makino-L1-Unit1-2013,113.7048826,12.2,42.9,34.9,No_Machine_Failure
Makino-L1-Unit1-2013,121.1015146,25.9,48.3,35,No_Machine_Failure
Makino-L1-Unit1-2013,94.19275126,25.9,52.4,34.8,No_Machine_Failure
Makino-L1-Unit1-2013,71.04,19.4,45.8,38.6,Machine_Failure
Makino-L3-Unit1-2015,172.815982,26.1,48.3,41.1,No_Machine_Failure
Makino-L2-Unit1-2015,93.53,25.2,49.6,31.7,Machine_Failure
Makino-L1-Unit1-2013,83.07,7.6,48.3,39.7,Machine_Failure
Makino-L3-Unit1-2015,51.32,6.3,46.9,42.4,Machine_Failure
Makino-L3-Unit1-2015,79.76,26.3,53,38.5,Machine_Failure
Makino-L2-Unit1-2015,145.98,10,47.5,35.2,Machine_Failure
Makino-L1-Unit1-2013,75.62,18,47.1,29.1,Machine_Failure
Makino-L3-Unit1-2015,96.86,4.5,43.2,31,Machine_Failure
Makino-L2-Unit1-2015,79.51,12.3,49,28.2,Machine_Failure
Makino-L2-Unit1-2015,76.74,18.1,49.8,35.9,Machine_Failure
Makino-L1-Unit1-2013,92.21,29.3,40.1,34.8,Machine_Failure
Makino-L2-Unit1-2015,72.34,4.6,46,31.5,Machine_Failure
Makino-L2-Unit1-2015,85.13,15.7,45.2,33.5,Machine_Failure
Makino-L1-Unit1-2013,54.71,26.4,46.6,34,Machine_Failure
Makino-L3-Unit1-2015,137.37,22.7,45.6,32.9,Machine_Failure
Makino-L2-Unit1-2015,137.1867464,23.6,48.9,37.8,No_Machine_Failure
Makino-L3-Unit1-2015,101.8965424,9.9,50.9,38.6,No_Machine_Failure
Makino-L1-Unit1-2013,130.6345481,11.9,44.1,35.4,No_Machine_Failure
Makino-L1-Unit1-2013,63.76,19.1,45.6,31.3,Machine_Failure
Makino-L3-Unit1-2015,100.1580973,12.2,53.3,39.5,No_Machine_Failure
Makino-L1-Unit1-2013,138.2086377,23.4,47.4,40,No_Machine_Failure
Makino-L3-Unit1-2015,139.34,12.5,49.3,31,Machine_Failure
Makino-L3-Unit1-2015,127.5823982,23.4,52.7,34,No_Machine_Failure
Makino-L3-Unit1-2015,80.27,15,49.2,33.6,Machine_Failure
Makino-L3-Unit1-2015,134.02,10.2,45.8,35.5,Machine_Failure
Makino-L2-Unit1-2015,135.93,26,50.3,34.3,Machine_Failure
Makino-L1-Unit1-2013,142.36,13.7,40.6,28.2,Machine_Failure
Makino-L2-Unit1-2015,64.25,25.2,47.7,42.2,Machine_Failure
Makino-L1-Unit1-2013,95.58,25.7,45.1,36.2,Machine_Failure
Makino-L1-Unit1-2013,68.6,26.6,43.6,33.1,Machine_Failure
Makino-L3-Unit1-2015,121.4308068,4.5,42.3,35.2,No_Machine_Failure
Makino-L1-Unit1-2013,86.42,6.1,48.1,41.2,Machine_Failure
Makino-L2-Unit1-2015,101.3247628,8.7,51.9,31.4,No_Machine_Failure
Makino-L2-Unit1-2015,140.6438248,7.4,43,27.3,No_Machine_Failure
Makino-L2-Unit1-2015,77.57,24.3,44,36.8,Machine_Failure
Makino-L2-Unit1-2015,68.97,17,49.1,37,Machine_Failure
Makino-L3-Unit1-2015,59.63,5,39.1,35.4,Machine_Failure
Makino-L1-Unit1-2013,61.73,14.6,50.3,35.2,Machine_Failure
Makino-L1-Unit1-2013,119.2628702,5.7,44.5,34.2,No_Machine_Failure
Makino-L2-Unit1-2015,56.91,12.4,51.6,28.7,Machine_Failure
Makino-L2-Unit1-2015,99.09,6.1,49.1,30.9,Machine_Failure
Makino-L3-Unit1-2015,112.7546781,23,47.4,34.1,No_Machine_Failure
Makino-L2-Unit1-2015,105.0901352,22.6,49.6,39.5,No_Machine_Failure
Makino-L1-Unit1-2013,109.3795002,22.9,52.4,39.8,No_Machine_Failure
Makino-L2-Unit1-2015,148.8822967,12.2,54.2,35.3,No_Machine_Failure
Makino-L1-Unit1-2013,78.96,4.9,53.4,36.9,Machine_Failure
Makino-L1-Unit1-2013,,9.9,44.4,32.2,No_Machine_Failure
Makino-L1-Unit1-2013,114.1453675,21.7,45.5,30.3,No_Machine_Failure
Makino-L3-Unit1-2015,88.64,6.1,44.4,36.8,Machine_Failure
Makino-L1-Unit1-2013,110.7176597,21.7,49.1,30.7,No_Machine_Failure
Makino-L1-Unit1-2013,59.96,17.1,47.9,33.5,Machine_Failure
Makino-L2-Unit1-2015,129.1277004,10.6,47.1,36.3,No_Machine_Failure
Makino-L2-Unit1-2015,130.7049468,6.8,50.1,34.6,No_Machine_Failure
Makino-L1-Unit1-2013,112.4868133,5.7,47.5,34.8,No_Machine_Failure
Makino-L1-Unit1-2013,130.4351649,12.2,49.5,40.3,No_Machine_Failure
Makino-L3-Unit1-2015,125.7843388,9.9,44.8,37.1,No_Machine_Failure
Makino-L3-Unit1-2015,111.386512,6.8,43.5,33.8,No_Machine_Failure
Makino-L2-Unit1-2015,109.7058679,4.5,42.2,36.5,No_Machine_Failure
Makino-L3-Unit1-2015,137.6339947,21.4,42.3,34.6,No_Machine_Failure
Makino-L2-Unit1-2015,110.9528774,21.4,43.1,33.4,No_Machine_Failure
Makino-L1-Unit1-2013,134.54,8,48.3,32.9,Machine_Failure
Makino-L1-Unit1-2013,98.7,16.7,49.6,38,Machine_Failure
Makino-L1-Unit1-2013,76.74,24.1,47.5,36.5,Machine_Failure
Makino-L3-Unit1-2015,125.95,26.7,45.6,36,Machine_Failure
Makino-L1-Unit1-2013,98.7,7.8,49.9,33,Machine_Failure
Makino-L2-Unit1-2015,139.34,18.6,46,36.7,Machine_Failure
Makino-L3-Unit1-2015,71.04,21.2,44.1,30.6,Machine_Failure
Makino-L2-Unit1-2015,121.0226115,5.7,43,34.1,No_Machine_Failure
Makino-L1-Unit1-2013,112.4224642,26.3,51.1,34.8,No_Machine_Failure
Makino-L2-Unit1-2015,145.98,14,48.7,33.5,Machine_Failure
Makino-L1-Unit1-2013,127.8264919,25.8,40.7,35.2,No_Machine_Failure
Makino-L1-Unit1-2013,137.4455053,4.5,48.8,33.5,No_Machine_Failure
Makino-L2-Unit1-2015,92.44,27,47.8,35.8,Machine_Failure
Makino-L1-Unit1-2013,134.4519637,25.9,43.4,31.5,No_Machine_Failure
Makino-L3-Unit1-2015,134.54,5.1,44.8,40.7,Machine_Failure
Makino-L1-Unit1-2013,141.14,8.1,41.3,35.5,Machine_Failure
Makino-L2-Unit1-2015,141.14,5.9,41.4,31.8,Machine_Failure
Makino-L3-Unit1-2015,118.9057732,7.4,47.4,36.8,No_Machine_Failure
Makino-L1-Unit1-2013,123.7131151,10.6,45.6,37.3,No_Machine_Failure
Makino-L3-Unit1-2015,63.76,13.7,49.2,37.1,Machine_Failure
Makino-L3-Unit1-2015,141.915553,7.4,44,40,No_Machine_Failure
Makino-L1-Unit1-2013,114.4014569,8.7,47.3,39,No_Machine_Failure
Makino-L2-Unit1-2015,142.36,32.3,48.5,31.7,Machine_Failure
Makino-L3-Unit1-2015,127.9797701,11.9,39.8,34.5,No_Machine_Failure
Makino-L2-Unit1-2015,136.9081305,4.5,51.1,34.9,No_Machine_Failure
Makino-L3-Unit1-2015,132.8734571,8.7,47,35.4,No_Machine_Failure
Makino-L3-Unit1-2015,80.27,22,50.8,44.4,Machine_Failure
Makino-L2-Unit1-2015,61.73,6.9,49.3,33.8,Machine_Failure
Makino-L2-Unit1-2015,148.5053488,11.9,52.2,34.4,No_Machine_Failure
Makino-L3-Unit1-2015,142.0082012,5.7,51.8,30.5,No_Machine_Failure
Makino-L2-Unit1-2015,106.8922785,7.4,44.4,36.4,No_Machine_Failure
Makino-L2-Unit1-2015,128.8130869,8.7,44.8,36.2,No_Machine_Failure
Makino-L1-Unit1-2013,142.6360534,10.6,49.6,36.4,No_Machine_Failure
Makino-L2-Unit1-2015,114.4595853,5.7,41.7,32.6,No_Machine_Failure
Makino-L3-Unit1-2015,136.3214721,6.8,45.2,38.2,No_Machine_Failure
Makino-L3-Unit1-2015,145.8448023,4.5,45,40.3,No_Machine_Failure
Makino-L3-Unit1-2015,91.89,24.4,44.2,34.6,Machine_Failure
Makino-L2-Unit1-2015,60.06,30.3,47.9,36.7,Machine_Failure
Makino-L2-Unit1-2015,128.8130869,8.7,44.8,36.2,No_Machine_Failure
Makino-L3-Unit1-2015,94.93,26.4,48.5,42.5,Machine_Failure
Makino-L2-Unit1-2015,138.2282164,11.9,,28.6,No_Machine_Failure
Makino-L2-Unit1-2015,67.73,25.6,47.8,34.3,Machine_Failure
Makino-L3-Unit1-2015,101.8212798,5.7,47,34.9,No_Machine_Failure
Makino-L1-Unit1-2013,108.9688145,23.1,44.6,36.8,No_Machine_Failure
Makino-L3-Unit1-2015,94.12,30.3,52.2,32.2,Machine_Failure
Makino-L3-Unit1-2015,91.77,29.8,43.4,31.7,Machine_Failure
Makino-L1-Unit1-2013,82.45,28.7,45.7,32,Machine_Failure
Makino-L2-Unit1-2015,58.4,27,52,33.8,Machine_Failure
Makino-L3-Unit1-2015,140.8120063,23.4,42,37.5,No_Machine_Failure
Makino-L3-Unit1-2015,95.45,26.4,47.3,36.5,Machine_Failure
Makino-L3-Unit1-2015,82.36,25.6,46.9,35.9,Machine_Failure
Makino-L1-Unit1-2013,96.02,24.4,48.8,29.7,Machine_Failure
Makino-L3-Unit1-2015,67.73,29.8,54,33.1,Machine_Failure
Makino-L2-Unit1-2015,83.06,12.4,44.1,34.7,Machine_Failure
Makino-L1-Unit1-2013,96.81,24.4,50.8,33,Machine_Failure
Makino-L2-Unit1-2015,59.36,25.6,45.4,30.9,Machine_Failure
Makino-L3-Unit1-2015,76.84,26.4,59.5,43.5,Machine_Failure
Makino-L2-Unit1-2015,67.99,27,47.3,36,Machine_Failure
Makino-L3-Unit1-2015,98.71,28.7,50.3,35.4,Machine_Failure
Makino-L3-Unit1-2015,121.0567988,11.9,53.2,25.5,No_Machine_Failure
Makino-L3-Unit1-2015,67.02,22.5,49.7,39.8,Machine_Failure
Makino-L2-Unit1-2015,118.6941205,22.5,48,33.6,No_Machine_Failure
Makino-L3-Unit1-2015,94.27,26.4,40.1,34.3,Machine_Failure
Makino-L3-Unit1-2015,64.3,10.8,46.8,33,Machine_Failure
Makino-L3-Unit1-2015,121.02847,22.5,48.6,41.1,No_Machine_Failure
Makino-L3-Unit1-2015,115.1962448,22.7,42.3,36.3,No_Machine_Failure
Makino-L2-Unit1-2015,142.5502468,22.6,47.2,36.1,No_Machine_Failure
Makino-L2-Unit1-2015,144.0540113,22.5,53.7,31.3,No_Machine_Failure
Makino-L3-Unit1-2015,103.8815796,21.7,43.9,33.5,No_Machine_Failure
Makino-L3-Unit1-2015,157.7775077,21.5,40.7,38.7,No_Machine_Failure
Makino-L2-Unit1-2015,149.8179485,21.5,45.4,30,No_Machine_Failure
Makino-L3-Unit1-2015,72.94,9.8,46.5,28.1,Machine_Failure
Makino-L2-Unit1-2015,143.3169567,21.4,50.7,34.7,No_Machine_Failure
Makino-L2-Unit1-2015,128.7171237,21.4,48.4,34.6,No_Machine_Failure
Makino-L3-Unit1-2015,51.04,28.7,52.2,39,Machine_Failure
Makino-L2-Unit1-2015,98.82928898,21.5,49.7,42.2,No_Machine_Failure
Makino-L3-Unit1-2015,129.4596461,21.4,47.5,27,No_Machine_Failure
Makino-L2-Unit1-2015,160.3538284,26.4,52.8,36,No_Machine_Failure
Makino-L3-Unit1-2015,128.562007,26.3,42,34.2,No_Machine_Failure
Makino-L1-Unit1-2013,137.37,19.2,40.6,37.5,Machine_Failure
Makino-L2-Unit1-2015,94.78,7,43.5,29.3,Machine_Failure
Makino-L2-Unit1-2015,135.93,7.5,40.7,34.4,Machine_Failure
Makino-L3-Unit1-2015,88.11041871,26.4,47.8,30.5,No_Machine_Failure
Makino-L2-Unit1-2015,132.8324943,5.7,46.5,33.7,No_Machine_Failure
Makino-L1-Unit1-2013,72.3,10.3,41.4,35.2,Machine_Failure
Makino-L3-Unit1-2015,92.95,24.3,43,34.1,Machine_Failure
Makino-L3-Unit1-2015,96.48,10.3,52.3,41.3,Machine_Failure
Makino-L3-Unit1-2015,120.534968,26.4,47.3,33.5,No_Machine_Failure
Makino-L2-Unit1-2015,71.64,29.8,48.1,36.7,Machine_Failure
Makino-L1-Unit1-2013,83.1,28.7,40.2,37,Machine_Failure
Makino-L2-Unit1-2015,73.4,24.4,56.9,35.3,Machine_Failure
Makino-L1-Unit1-2013,82.14,30.3,51.8,42.4,Machine_Failure
Makino-L3-Unit1-2015,159.5445114,26.4,54.7,29.2,No_Machine_Failure
Makino-L1-Unit1-2013,52.75,30.3,46.5,40.4,Machine_Failure
Makino-L3-Unit1-2015,51.04,25.6,49.5,33,Machine_Failure
Makino-L3-Unit1-2015,108.7856459,12.2,51.5,35.2,No_Machine_Failure
Makino-L1-Unit1-2013,139.1327475,26.3,38.3,37.6,No_Machine_Failure
Makino-L2-Unit1-2015,146.3361505,26.3,52,31.5,No_Machine_Failure
Makino-L2-Unit1-2015,112.5104127,26.3,50,31.5,No_Machine_Failure
Makino-L1-Unit1-2013,120.9186181,26.3,47.8,44.5,No_Machine_Failure
Makino-L3-Unit1-2015,99.15558105,26.4,50.5,38.2,No_Machine_Failure
Makino-L1-Unit1-2013,118.0744096,26.4,43,35.7,No_Machine_Failure
Makino-L2-Unit1-2015,69.36,29.8,43.4,28.2,Machine_Failure
Makino-L2-Unit1-2015,121.2185149,26.3,47.6,39,No_Machine_Failure
Makino-L3-Unit1-2015,138.1609209,26.3,50.8,33.4,No_Machine_Failure
Makino-L1-Unit1-2013,57.76,27,50.5,35.1,Machine_Failure
Makino-L3-Unit1-2015,69.04,29.8,45.4,37,Machine_Failure
Makino-L3-Unit1-2015,150.9636706,26.1,50.9,36.2,No_Machine_Failure
Makino-L3-Unit1-2015,134.02,4.2,49.4,35.7,Machine_Failure
Makino-L2-Unit1-2015,92.68,17.6,49,28.8,Machine_Failure
Makino-L2-Unit1-2015,103.2037808,26.4,61.4,41.9,No_Machine_Failure
Makino-L2-Unit1-2015,71.04,26.4,51.9,38.7,Machine_Failure
Makino-L1-Unit1-2013,70.39,28.7,44.2,29.3,Machine_Failure
Makino-L1-Unit1-2013,85.16,22.3,46.9,31.3,Machine_Failure
Makino-L1-Unit1-2013,69.41,30.3,49.2,35.1,Machine_Failure
Makino-L2-Unit1-2015,91.38,24.4,47.7,30.4,Machine_Failure
Makino-L2-Unit1-2015,60.26,27,47.9,40.2,Machine_Failure
Makino-L3-Unit1-2015,66.56,6.9,50.7,34.6,Machine_Failure
Makino-L1-Unit1-2013,133.4785271,24,49.7,40.4,No_Machine_Failure
Makino-L2-Unit1-2015,84.6,12.4,37.4,30.3,Machine_Failure
Makino-L3-Unit1-2015,95.57,25.3,41.4,38,Machine_Failure
Makino-L3-Unit1-2015,66.51,19.3,43,35.4,Machine_Failure
Makino-L1-Unit1-2013,77.2,25.6,47.1,33.6,Machine_Failure
Makino-L1-Unit1-2013,110.8668418,24,47.5,40.8,No_Machine_Failure
Makino-L1-Unit1-2013,145.5640243,24,46.3,33.2,No_Machine_Failure
Makino-L3-Unit1-2015,50.14,24.5,44.7,31.6,Machine_Failure
Makino-L1-Unit1-2013,72.89,24.5,51.3,36,Machine_Failure
Makino-L2-Unit1-2015,91.16,25.9,39,27.7,Machine_Failure
Makino-L2-Unit1-2015,122.2437311,24.1,48.7,33.3,No_Machine_Failure
Makino-L2-Unit1-2015,87.26,16.6,46.8,35.4,Machine_Failure
Makino-L3-Unit1-2015,89,26.4,51.2,33.5,Machine_Failure
Makino-L3-Unit1-2015,53.43,26.3,45.2,30.1,Machine_Failure
Makino-L1-Unit1-2013,161.5682611,23.4,47.2,33.6,No_Machine_Failure
Makino-L1-Unit1-2013,86.9996921,9.9,52.5,30.5,No_Machine_Failure
Makino-L3-Unit1-2015,60.98,6.3,44.3,34,Machine_Failure
Makino-L3-Unit1-2015,57.82,20,53.2,38.8,Machine_Failure
Makino-L3-Unit1-2015,76.43,14.2,59.2,36.5,Machine_Failure
Makino-L1-Unit1-2013,75.36,8.4,56.4,30.9,Machine_Failure
Makino-L1-Unit1-2013,54.12,11.5,52.7,39.6,Machine_Failure
Makino-L1-Unit1-2013,155,26.3,48,31.9,Machine_Failure
Makino-L3-Unit1-2015,130.9995183,24.1,45.3,36.3,No_Machine_Failure
Makino-L1-Unit1-2013,121.064954,24,47.2,38.8,No_Machine_Failure
Makino-L1-Unit1-2013,130.6120934,23.7,51.6,38,No_Machine_Failure
Makino-L3-Unit1-2015,120.014911,24,51.4,39.6,No_Machine_Failure
Makino-L3-Unit1-2015,165.9249617,24,50.4,35.2,No_Machine_Failure
Makino-L1-Unit1-2013,120.4448252,22.7,54.2,34.3,No_Machine_Failure
Makino-L2-Unit1-2015,114.5721239,22.7,48.3,41.4,No_Machine_Failure
Makino-L1-Unit1-2013,74.15,30.3,49.3,36.1,Machine_Failure
Makino-L2-Unit1-2015,139.5804214,22.7,,43,No_Machine_Failure
Makino-L1-Unit1-2013,93.05,27,47.3,33,Machine_Failure
Makino-L1-Unit1-2013,118.8568709,22.7,52.2,34.6,No_Machine_Failure
Makino-L2-Unit1-2015,121.758972,6.8,49.5,35.4,No_Machine_Failure
Makino-L2-Unit1-2015,67.71,24.4,50.2,29.2,Machine_Failure
Makino-L3-Unit1-2015,61.82,28.7,52,40.4,Machine_Failure
Makino-L3-Unit1-2015,80.81,29.8,44.6,38.9,Machine_Failure
Makino-L3-Unit1-2015,92.79,30.3,51.4,32.8,Machine_Failure
Makino-L3-Unit1-2015,88.21,29.8,50.1,31.3,Machine_Failure
Makino-L1-Unit1-2013,50.7,25.6,48.3,29.8,Machine_Failure
Makino-L3-Unit1-2015,80.8,26.4,46.6,41.1,Machine_Failure
Makino-L1-Unit1-2013,65.83,27,47.7,31.4,Machine_Failure
Makino-L1-Unit1-2013,77.27,28.7,42.5,37,Machine_Failure
Makino-L3-Unit1-2015,118.4386486,21.3,48.4,36.9,No_Machine_Failure
Makino-L2-Unit1-2015,139.6956307,10.6,43.4,32.4,No_Machine_Failure
Makino-L1-Unit1-2013,99.15,18.4,44.4,39.5,Machine_Failure
Makino-L3-Unit1-2015,122.9205964,12.2,48.9,34.1,No_Machine_Failure
Makino-L2-Unit1-2015,71.01,4.9,44.8,33.8,Machine_Failure
Makino-L1-Unit1-2013,142.0098997,21.3,,37.4,No_Machine_Failure
Makino-L2-Unit1-2015,132.4065888,21.3,46.4,37.2,No_Machine_Failure
Makino-L1-Unit1-2013,115.3273082,21.3,48.9,39.4,No_Machine_Failure
Makino-L3-Unit1-2015,126.7164019,21.3,45.8,37.1,No_Machine_Failure
Makino-L2-Unit1-2015,50.36,14.5,51,43.1,Machine_Failure
Makino-L2-Unit1-2015,82.09,20,42.9,39.9,Machine_Failure
Makino-L1-Unit1-2013,74.2,14.2,45.4,34.3,Machine_Failure
Makino-L3-Unit1-2015,116.2387801,30.4,50,37.6,No_Machine_Failure
Makino-L1-Unit1-2013,117.7217483,9.9,51.8,35.5,No_Machine_Failure
Makino-L3-Unit1-2015,113.5613194,4.5,46.8,38.9,No_Machine_Failure
Makino-L1-Unit1-2013,114.3768073,30.4,54.9,39.6,No_Machine_Failure
Makino-L2-Unit1-2015,56.97,14.2,45.2,32.4,Machine_Failure
Makino-L2-Unit1-2015,135.3424124,8.7,46.2,36.8,No_Machine_Failure
Makino-L2-Unit1-2015,135.0300804,9.9,49.7,37.8,No_Machine_Failure
Makino-L2-Unit1-2015,116.7664511,10.6,45.5,38.5,No_Machine_Failure
Makino-L3-Unit1-2015,99.97727415,12.2,51.7,38.6,No_Machine_Failure
Makino-L1-Unit1-2013,61.67,7.7,51.9,39.6,Machine_Failure
Makino-L1-Unit1-2013,88.11,16.6,52,30.9,Machine_Failure
Makino-L2-Unit1-2015,94.71,6.2,54.6,38.9,Machine_Failure
Makino-L2-Unit1-2015,174.2498658,26.1,49,38.9,No_Machine_Failure
Makino-L1-Unit1-2013,66.56,15.4,46.8,34.4,Machine_Failure
Makino-L3-Unit1-2015,91.96,15.4,49.2,37.6,Machine_Failure
Makino-L3-Unit1-2015,56.89,12.1,50.2,32.2,Machine_Failure
Makino-L3-Unit1-2015,53.53,34.7,47.2,35.2,Machine_Failure
Makino-L1-Unit1-2013,94.29,11,43.2,33.6,Machine_Failure
Makino-L1-Unit1-2013,68.18,11.1,43.3,37.2,Machine_Failure
Makino-L2-Unit1-2015,62.42,22.8,50.2,40.4,Machine_Failure
Makino-L2-Unit1-2015,155,10,52.3,38.7,Machine_Failure
Makino-L2-Unit1-2015,74.25,14.9,49.7,34.6,Machine_Failure
Makino-L1-Unit1-2013,82.28,17.1,46.7,36,Machine_Failure
Makino-L3-Unit1-2015,88.92,6.2,44.4,37.6,Machine_Failure
Makino-L1-Unit1-2013,97.87,11.7,49.9,34.9,Machine_Failure
Makino-L3-Unit1-2015,117.636062,26.2,47.4,33.1,No_Machine_Failure
Makino-L2-Unit1-2015,146.0763048,30.3,55.7,36.3,No_Machine_Failure
Makino-L1-Unit1-2013,162.230774,31,52.7,35.3,No_Machine_Failure
Makino-L3-Unit1-2015,118.4438448,30.1,48.4,38.8,No_Machine_Failure
Makino-L1-Unit1-2013,118.1917877,30.3,44.9,39,No_Machine_Failure
Makino-L3-Unit1-2015,128.1828944,6.8,49.7,32.3,No_Machine_Failure
Makino-L2-Unit1-2015,125.9564854,27.6,49.5,38.8,No_Machine_Failure
Makino-L2-Unit1-2015,108.9668424,26.2,47.8,28.6,No_Machine_Failure
Makino-L3-Unit1-2015,106.5615709,26.2,44.1,34.1,No_Machine_Failure
Makino-L3-Unit1-2015,139.5612256,26.2,39.9,35,No_Machine_Failure
Makino-L1-Unit1-2013,108.2243873,31,44.5,32.2,No_Machine_Failure
Makino-L3-Unit1-2015,142.7021809,30.5,46.4,31,No_Machine_Failure
Makino-L3-Unit1-2015,133.8136379,26.1,48,31.8,No_Machine_Failure
Makino-L1-Unit1-2013,119.7390962,27.5,42,35.6,No_Machine_Failure
Makino-L3-Unit1-2015,122.5069063,26.2,46.6,32.2,No_Machine_Failure
